COD_VAR;LIB_VAR;COD_MOD;LIB_MOD1
AGE;Âge atteint dans l'année;E;Ensemble
AGE;Âge atteint dans l'année;15;15 ans ou moins
AGE;Âge atteint dans l'année;16;16 ans
AGE;Âge atteint dans l'année;17;17 ans
AGE;Âge atteint dans l'année;18;18 ans
AGE;Âge atteint dans l'année;19;19 ans
AGE;Âge atteint dans l'année;20;20 ans
AGE;Âge atteint dans l'année;21;21 ans
AGE;Âge atteint dans l'année;22;22 ans
AGE;Âge atteint dans l'année;23;23 ans
AGE;Âge atteint dans l'année;24;24 ans
AGE;Âge atteint dans l'année;25;25 ans
AGE;Âge atteint dans l'année;26;26 ans
AGE;Âge atteint dans l'année;27;27 ans
AGE;Âge atteint dans l'année;28;28 ans
AGE;Âge atteint dans l'année;29;29 ans
AGE;Âge atteint dans l'année;30;30 ans
AGE;Âge atteint dans l'année;31;31 ans
AGE;Âge atteint dans l'année;32;32 ans
AGE;Âge atteint dans l'année;33;33 ans
AGE;Âge atteint dans l'année;34;34 ans
AGE;Âge atteint dans l'année;35;35 ans
AGE;Âge atteint dans l'année;36;36 ans
AGE;Âge atteint dans l'année;37;37 ans
AGE;Âge atteint dans l'année;38;38 ans
AGE;Âge atteint dans l'année;39;39 ans
AGE;Âge atteint dans l'année;40;40 ans
AGE;Âge atteint dans l'année;41;41 ans
AGE;Âge atteint dans l'année;42;42 ans
AGE;Âge atteint dans l'année;43;43 ans
AGE;Âge atteint dans l'année;44;44 ans
AGE;Âge atteint dans l'année;45;45 ans
AGE;Âge atteint dans l'année;46;46 ans
AGE;Âge atteint dans l'année;47;47 ans
AGE;Âge atteint dans l'année;48;48 ans
AGE;Âge atteint dans l'année;49;49 ans
AGE;Âge atteint dans l'année;50;50 ans
AGE;Âge atteint dans l'année;51;51 ans
AGE;Âge atteint dans l'année;52;52 ans
AGE;Âge atteint dans l'année;53;53 ans
AGE;Âge atteint dans l'année;54;54 ans
AGE;Âge atteint dans l'année;55;55 ans
AGE;Âge atteint dans l'année;56;56 ans
AGE;Âge atteint dans l'année;57;57 ans
AGE;Âge atteint dans l'année;58;58 ans
AGE;Âge atteint dans l'année;59;59 ans
AGE;Âge atteint dans l'année;60;60 ans
AGE;Âge atteint dans l'année;61;61 ans
AGE;Âge atteint dans l'année;62;62 ans
AGE;Âge atteint dans l'année;63;63 ans
AGE;Âge atteint dans l'année;64;64 ans
AGE;Âge atteint dans l'année;65;65 ans ou plus
AGECONJ1;Âge atteint dans l'année du conjoint 1;15;15 ans ou moins
AGECONJ1;Âge atteint dans l'année du conjoint 1;16;16 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;17;17 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;18;18 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;19;19 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;20;20 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;21;21 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;22;22 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;23;23 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;24;24 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;25;25 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;26;26 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;27;27 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;28;28 ans
